Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Train_or_Test,Sex,Speaker_Number_Andrew,Speaker_Number_Bill,Speaker_Number_David,Speaker_Number_Jo,Speaker_Number_Kate,Speaker_Number_Mark,Speaker_Number_Mike,Speaker_Number_Nick,Speaker_Number_Penny,Speaker_Number_Rich,Speaker_Number_Rose,Speaker_Number_Sarah,Speaker_Number_Sue,Speaker_Number_Tim,Speaker_Number_Wendy,cluster
0.3681498829039813,0.2665406427221172,0.4637570188871873,0.8420496566296884,0.4949469429004547,0.7786911160290862,0.3908163265306121,0.5468187274909965,0.2529089664613279,0.2815344603381015,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.4412177985948478,0.27882797731569,0.4576314446145993,0.7326994189117804,0.4704396159676604,0.8754347138792286,0.3993197278911564,0.5411164465786316,0.3394934976043806,0.387516254876463,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.723887587822014,0.3415248897290485,0.2325165900969882,0.4109878499735869,0.358767054067711,0.7571925387290547,0.3258503401360543,0.59093637454982,0.2751540041067761,0.5302340702210664,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.6847775175644029,0.4856647763074984,0.2524247064828995,0.6394611727416799,0.2713491662455786,0.5994309200126462,0.3299319727891155,0.4585834333733494,0.5208761122518824,0.2877113133940182,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.6119437939110071,0.5059861373660995,0.4188361408882083,0.6526677231907027,0.124810510358767,0.5058488776478027,0.6568027210884353,0.3430372148859544,0.646817248459959,0.4174252275682705,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.5524590163934426,0.5022054190296157,0.4420622766717713,0.590068674062335,0.1361798888327438,0.5346190325640214,0.5965986394557822,0.3142256902761104,0.63347022587269,0.4275032509752926,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.4049180327868852,0.5982986767485823,0.5242470648289944,0.6489698890649763,0.0333501768569984,0.5494783433449257,0.6323129251700679,0.523109243697479,0.6810403832991102,0.4271781534460338,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.2974238875878221,0.5637996219281665,0.6664114344053088,0.8399366085578448,0.0788276907529055,0.4517862788491937,0.374829931972789,0.6857743097238896,0.7488021902806298,0.4483094928478544,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.3163934426229509,0.5340264650283554,0.3950995405819296,0.5538827258320127,0.3668519454269833,0.7951312045526399,0.3486394557823128,0.6665666266506604,0.4948665297741273,0.405071521456437,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.3660421545667447,0.4861373660995589,0.2830525778458397,0.7889593238246171,0.5538150581101566,0.7628833386025924,0.3642857142857142,0.5987394957983194,0.5725530458590007,0.2743823146944084,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
