dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,cluster
-0.3050338274651459,-0.2805178177500891,0.2912304397234219,0.5573689441291194,-0.0889395476283328,-0.0037976109021581,0.0324431296330117,-0.0564260051358368,0.0020261571014552,0.0405187003961948,1
-0.3318341986126202,-0.303329761945254,0.3161014728595833,0.5931322687676178,-0.0947021314429364,-0.0045600213320763,0.0341931526253641,-0.0629215233663086,0.0024772884146225,0.0442303686146872,1
-0.3104972785138889,-0.2848314883942848,0.2920503950254704,0.5314879123778188,-0.0824109670908573,-0.0055351729920713,0.0287687196834967,-0.0559175039743437,0.003062120889216,0.0377873633685774,1
-0.356720622426875,-0.3223122543221225,0.335895518839652,0.6137452680412041,-0.0966205235020604,-0.005244020391063,0.0341499908266425,-0.0675764806185393,0.0043167042842569,0.0424155795585366,1
-0.3323234133525494,-0.3046180580285435,0.3071356091240926,0.5493972290029827,-0.0879032178304682,-0.0040997863380076,0.0317514008597251,-0.0725385387275514,0.0040877237563305,0.036119816773214,1
-0.3408204908040461,-0.3124443110847641,0.3149847448745939,0.5657064110937174,-0.0906360667143603,-0.0040902637865319,0.0330051766475512,-0.0799959813662049,0.0040425428853882,0.0375124816148716,1
-0.3259377185441983,-0.2987926541964723,0.3013423823800419,0.5377109084406885,-0.0847987700464383,-0.004749590586897,0.0341152644039105,-0.0685210265088263,0.0038760354992637,0.0346295081180126,1
-0.2831996276991931,-0.2628379954620002,0.2643365014358939,0.4575443361125806,-0.0723683431347321,-0.0044168287792919,0.0311554457449998,-0.0440028328798856,0.0033181848306363,0.0371285713544521,1
-0.3520427310020186,-0.3191096135025089,0.3312858621982585,0.6153608970274463,-0.0965102143261625,-0.0056345941212854,0.0378808500620383,-0.0736043732891731,0.0030379596213915,0.0426594355017762,1
-0.3353960745584773,-0.3028595818369396,0.319134135885364,0.6007335734642527,-0.0961117310752089,-0.0047574880143007,0.0363563182727772,-0.0633316805543814,0.002827257582319,0.0415847621823366,1
-0.3745799545179488,-0.3366273245020776,0.3512060473451296,0.6454598093371401,-0.102400131042133,-0.0059732457050386,0.0384603905290612,-0.0756641699946274,0.0041712521995305,0.046776792948063,1
-0.3078114019186402,-0.2824732571963763,0.2939200953735906,0.561068139561959,-0.0896856902348456,-0.0040112713206558,0.0329107237794358,-0.057854817902588,0.002145467192535,0.0411997899857471,1
-0.3252227676687456,-0.2979589977131183,0.3103794657130486,0.5812194328769881,-0.0919495238192357,-0.0046825675770289,0.0330792117823935,-0.0566145744824659,0.002301858612894,0.0429873610730675,1
